stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,wheelchair_boarding
PA92,,PA92-Parada 1 / Alonso De Ovalle - San Francisco,-33.4452056491427,-70.6471314291699,,0
PA93,,PA93-Parada 3 / Santa Isabel - San Francisco,-33.4505632489924,-70.6469233848967,,0
PA94,,PA94-Parada 3 / Diez De Julio - San Francisco,-33.4532604168261,-70.6466036293201,,0
PA95,,PA95-Parada 9 / (M) Matta,-33.4576564133609,-70.6456529995777,,0
PA96,,PA96-Parada 3 / Hospital Sn. Borja Arriarán,-33.4606920372462,-70.6450484912998,,0
PA97,,PA97-Parada 3 / Victoria - San Francisco,-33.4642077843678,-70.6446449510631,,0
PA98,,PA98-Parada 3 / Ñuble - San Francisco,-33.4690874386947,-70.644058999735,,0
PA99,,PA99-Parada 3 / Matadero Franklin,-33.4722574900127,-70.6438841816054,,0
PA819,,PA819-San Francisco / Esq. Placer,-33.4751535119733,-70.6438183579733,,0
PH138,,PH138-Parada 1 / (M) Bío Bío,-33.4783058258457,-70.641968969208,,0
PH139,,PH139-Parada 3 / Paradero 3 Santa Rosa,-33.480602473913,-70.6418130001069,,0
PH140,,PH140-Parada 3 / Hospital Trudeau,-33.4838824658455,-70.6414319055461,,0
PH141,,PH141-Parada 3 / Paradero 6 Santa Rosa,-33.4877404883623,-70.6409040004532,,0
PH142,,PH142-Parada 3 / Paradero 8 Santa Rosa,-33.4917884965723,-70.6403750001953,,0
PH143,,PH143-Parada 3 / Paradero 9 Santa Rosa,-33.4949035033708,-70.6399300003587,,0
PH144,,PH144-Parada 3 / Paradero 9 1/2 Santa Rosa,-33.4974765071868,-70.6396339997815,,0
PH145,,PH145-Parada 3 / Paradero 11 Santa Rosa,-33.5022115154299,-70.6391520000669,,0
PH146,,PH146-Parada 7 / Departamental - Santa Rosa,-33.5065945218126,-70.6387100003414,,0
PH147,,PH147-Parada 1 / Paradero 13 Santa Rosa,-33.5107525351891,-70.6378480004288,,0
PH148,,PH148-Parada 1 / Paradero 14 Santa Rosa,-33.5137475443267,-70.637243000094,,0
PH149,,PH149-Parada 1 / Paradero 16 Santa Rosa,-33.5177375518037,-70.6367939999076,,0
PG90,,PG90-Parada 3 / Paradero 18 Santa Rosa,-33.5223265587506,-70.6363250000605,,0
PG91,,PG91-Parada 1 / Paradero 19 Santa Rosa,-33.5259755648735,-70.6359049997442,,0
PG92,,PG92-Parada 1 / Paradero 21 Santa Rosa,-33.5298905738926,-70.6353470000341,,0
PG93,,PG93-Parada 1 / Paradero 22 Santa Rosa,-33.5336705823478,-70.6347649997621,,0
PG94,,PG94-Parada 1 / Paradero 23 Santa Rosa,-33.5385271447235,-70.6344889353417,,0
PG116,,PG116-Parada 8 / (M) Santa Rosa,-33.5418505902107,-70.6342419999389,,0
PG254,,PG254-Parada 1 / Paradero 26 Santa Rosa,-33.5459046000589,-70.6336519999384,,0
PE1294,,PE1294-Parada 3 / Paradero 28 Santa Rosa,-33.5502036126289,-70.63281200017,,0
PG97,,PG97-Parada 3 / Hospital Padre Hurtado,-33.5534206237106,-70.6321129996616,,0
PG1611,,PG1611-Parada 5 / Paradero 30 Santa Rosa,-33.5578120149771,-70.63126420056,,0
PG1617,,PG1617-Parada 6 / Santo Tomás - Santa Rosa,-33.5603813574494,-70.6307569195889,,0
PG1464,,PG1464-Violeta Parra / Esq. El Bosque,-33.5610815898195,-70.6342350000485,,0
PG100,,PG100-Violeta Parra / Esq. P. Aguirre Cerda,-33.5609205310541,-70.6379610000106,,0
PG101,,PG101-Violeta Parra / Esq. Santa Pilar,-33.560819189279,-70.6403445073093,,0
PG102,,PG102-Violeta Parra / Esq. Los Almendros,-33.5605344320539,-70.6441909995391,,0
PG103,,PG103-Violeta Parra / Esq. A. Latorre,-33.5603954008392,-70.6461500002114,,0
PG1129,,PG1129-Violeta Parra / Esq. Av. La Bandera,-33.5602929328618,-70.6480888783744,,0
PG1130,,PG1130-Violeta Parra / Esq. Isabel De Hungría,-33.5601803359653,-70.650199999663,,0
PG1131,,PG1131-Violeta Parra / Esq. San Manuel,-33.5599710774936,-70.6527669048735,,0
PG1132,,PG1132-Violeta Parra / Esq. Av. San Francisco,-33.5597482434296,-70.6558570003765,,0
PG301,,PG301-Av. San Francisco / Esq. Los Peucos,-33.561833228194,-70.6567870004516,,0
PG1267,,PG1267-Av. Observatorio / Esq. Las Araucarias,-33.5621322044841,-70.6582730003867,,0
PG1268,,PG1268-Av. Observatorio / Esq. Julio Covarrubias,-33.5615421432081,-70.6619770002642,,0
PG1269,,PG1269-Av. Observatorio / Esq. Los Avellanos,-33.5611731055453,-70.6642560002358,,0
PG1673,,PG1673-Los Raulíes / Esq. Antonio Varas,-33.562834266878,-70.6656455845219,,0
PG572,,PG572-Los Raulíes / Esq. Santa Elena,-33.5654063658395,-70.6662604818625,,0
PG573,,PG573-Los Raulíes / Esq. El Conquistador,-33.5671980644567,-70.6667169999586,,0
PG574,,PG574-Los Raulíes / Esq. El Libertador,-33.56971088769,-70.6674009548149,,0
PG575,,PG575-Los Raulíes / Esq. Lo Martínez,-33.5722107827972,-70.6680524794917,,0
PG576,,PG576-Parada / Cesfam Haydée López,-33.5725740994203,-70.6670599524003,,0
PG577,,PG577-Lo Martínez / Esq. Los Minbres,-33.5729690948568,-70.6648709999398,,0
PG578,,PG578-Lo Martínez / Esq. San Francisco,-33.5737511689759,-70.6603959995255,,0
PG150,,PG150-Av. San Francisco / Esq. General Carvajal,-33.5755712202615,-70.6607167250813,,0
PG151,,PG151-Av. San Francisco / Esq. San Clemente,-33.5780059200845,-70.6613654203734,,0
PG152,,PG152-Av. San Francisco / Esq. Sargento Rebolledo,-33.5799471762652,-70.6619015910329,,0
PG153,,PG153-Av. San Francisco / Esq. Vecinar Sur,-33.581905134281,-70.6624339996674,,0
PG1761,,PG1761-Av. San Francisco / Esq. Las Parcelas,-33.5834701274067,-70.6628559995737,,0
PG1757,,PG1757-Avenida Lo Blanco / Esq. V. Pérez Rosales,-33.5852581307792,-70.6626589996556,,0
PG1756,,PG1756-Avenida Lo Blanco / Esq. Tte. L. Cruz Martínez,-33.5854881588502,-70.6609680000156,,0
PG1779,,PG1779-Tucapel / Esq. Av. San Francisco,-33.5869921163959,-70.6635330005133,,0
PG950,,PG950-Av. San Francisco / Esq. Avenida Lo Blanco,-33.5854411201014,-70.6632979996574,,0
PG233,,PG233-Av. San Francisco / Esq. Julio Barrenechea,-33.582636133912,-70.6624640000895,,0
PG159,,PG159-Av. San Francisco / Esq. Sgto. D. Rebolledo,-33.5803451444379,-70.6618319995445,,0
PG160,,PG160-Av. San Francisco / Esq. Bernardino Parada,-33.5773551584366,-70.6610229995413,,0
PG161,,PG161-Av. San Francisco / Esq. Río Loa,-33.5755461660956,-70.6605650005362,,0
PG628,,PG628-Lo Martínez / Esq. Los Andes,-33.5731673273866,-70.6630676927205,,0
PG629,,PG629-Parada / Cesfam Haydée López,-33.5724908142051,-70.6669769759998,,0
PG630,,PG630-Los Raulíes / Esq. El Libertador,-33.5701140534366,-70.6673759999643,,0
