RBD,NOM_RBD,COD_COM_RBD,COD_DEPE2,LATITUD,LONGITUD,MAT_TOTAL,ESTADO_ESTAB,ENS_01
8654,COLEGIO POLITECNICO AVDA. INDEPENDENCIA,13108,2,-33.409112,-70.65884264,317,1,310
8657,COLEGIO SAN ALBERTO,13106,2,-33.47074650999999,-70.6918583,920,1,10
8658,COLEGIO FRANCISCO ARRIARAN,13101,2,-33.45919087,-70.64887167,1102,1,10
8659,ESCUELA PARTICULAR FRANCISCO ANDRES OLEA,13101,2,-33.45872278,-70.64651169,698,1,10
8661,ESCUELA PARTICULAR GUILLERMO MATTA,13101,2,-33.46163013999999,-70.64299255,844,1,10
8663,INSTITUTO HERMANOS MATTE,13101,2,-33.47534806,-70.64954647,1386,1,10
8665,ESCUELA BASICA N°43 PATRONATO SAN ANTONIO,13101,2,-33.46477961,-70.63813021,370,1,10
8666,COLEGIO SANTA ISABEL,13101,2,-33.46783309,-70.63800235,546,1,10
8671,COLEGIO BICENTENARIO VICTORIA PRIETO,13101,2,-33.44512041,-70.67534908,537,1,10
8674,ESCUELA PARTICULAR SAN LAZARO,13101,2,-33.45481469,-70.66141001,423,1,10
8675,COLEGIO SANTA TERESITA DEL NINO JESUS,13101,2,-33.435387,-70.66578,992,1,10
8676,ESCUELA MANUEL JOSE IRARRAZAVAL,13101,2,-33.45942826,-70.67636398,1070,1,10
8678,ESC.SILVIA SALAS EDWARDS,13106,2,-33.46673023,-70.68381014,345,1,10
8680,COLEGIO ADVENTISTA PORVENIR,13101,2,-33.45476526,-70.63096436,591,1,10
8681,COLEGIO ANGLO MAIPU,13119,2,-33.49354701,-70.73619742,1318,1,10
8682,COLEGIO RAFAEL SANHUEZA LIZARDI,13127,2,-33.42858364,-70.64461953,1241,1,10
8684,COLEGIO JEAN JACQUES,13108,2,-33.40147429999999,-70.66515135,329,1,10
8685,ESCUELA BASICA PARTICULAR CLUB HIPICO,13105,2,-33.58052226,-70.67720368,832,1,10
8690,ESCUELA PARTICULAR AMOR DE DIOS,13102,2,-33.47936438,-70.68673501,624,1,10
8697,COLEGIO ORATORIO DON BOSCO,13101,2,-33.4550362,-70.64155456,1140,1,10
8699,ESCUELA PARTICULAR EL PEQUENO ESTUDIANTE,13127,2,-33.40611241,-70.63395777,366,1,110
8703,ESCUELA BASICA N°728 MARYLAND COLLEGE,13108,2,-33.42088420999999,-70.65874714,785,1,10
8706,ESCUELA SAN BENILDO,13127,2,-33.40665113,-70.65270934,345,1,110
8714,ESCUELA PARTICULAR RAMON FREIRE,13127,2,-33.40801874999999,-70.63634189,754,1,10
8715,COLEGIO SAO PAULO,13106,2,-33.45861964,-70.69372864,396,1,10
8717,ESCUELA PARTICULAR SAINT HENRY SCHOOL,13101,2,-33.46470679,-70.67587226,315,1,10
8718,ESCUELA PARTICULAR DANES,13110,2,-33.53750414999999,-70.58681416,246,1,10
8720,ESCUELA PARTICULAR ESPECIAL ALOA,13104,2,-33.39275399999999,-70.67134,312,1,212
8721,ESCUELA PARTICULAR ESPECIAL CEDIN,13101,2,-33.445538,-70.663345,244,1,212
8724,COLEGIO SAINT JOSEPH C. THOMAS SCHOOL,13110,2,-33.54354737,-70.57084345,365,1,10
8725,ESCUELA PARTICULAR ESPECIAL STA.JULIANA,13127,2,-33.406208,-70.65264,84,1,212
8726,ESCUELA PARTICULAR THOMAS JEFFERSON,13108,2,-33.40099175,-70.66038001,515,1,10
8728,COLEGIO GEORGE WASHINGTON,13108,2,-33.42492394,-70.65630146,794,1,10
8739,ESCUELA PARTICULAR DIVINA MARIA,13101,2,-33.43719845999999,-70.66974847,550,1,10
8740,COLEGIO MARIA LUISA VILLALON,13101,2,-33.44353792999999,-70.67464907,981,1,10
8748,COLEGIO INSTITUTO ALONSO DE ERCILLA,13101,3,-33.43771,-70.66662,2009,1,10
8750,COLEGIO ACADEMIA DE HUMANIDADES,13127,3,-33.423432,-70.645,1430,1,10
8754,COLEGIO HISPANO AMERICANO,13101,3,-33.455747,-70.63982,907,1,10
8755,COLEGIO SAINT ROSE SCHOOL,13101,3,-33.45658,-70.63635,525,1,10
8756,COLEGIO EXCELSIOR,13101,2,-33.45191606,-70.66946583,1505,1,110
8757,COLEGIO DE LOS SAGRADOS CORAZONES ALAMEDA,13101,3,-33.447482,-70.66424,1657,1,10
8759,COLEGIO SANTA CECILIA,13101,3,-33.440806,-70.66682,149,1,10
8761,COLEGIO INSTITUTO DE HUMANIDADES LUIS CAMPINO,13123,3,-33.426164,-70.6112,1183,1,10
8762,COLEGIO SANTA ELENA CARMELITAS MISIONERAS TERESIANA,13101,3,-33.440554,-70.66986,388,1,10
8769,COLEGIO SANTA MARIA CERVELLON,13108,3,-33.410869,-70.65913,587,1,10
8780,ESCUELA MANUEL MONTT,13101,2,-33.45737233,-70.63288797,356,1,10
8791,COLEGIO FILIPENSE,13101,2,-33.45174347999999,-70.66186461,1006,1,10
8793,ESCUELA BASICA N°823 SPENDIX,13120,3,-33.453414,-70.62106,4,1,110
8800,ESCUELA PART MARY AND GEORGE S SCHOOL,13127,2,-33.41702435,-70.63937145,372,1,10
8809,ESCUELA DE PARVULOS N°1146 HEYDDIE,13101,3,-33.439278,-70.6687,26,1,10
8811,LICEO PROFESIONAL ABDON CIFUENTES,13101,2,-33.44761407,-70.65796231,781,1,310
8812,LICEO INDUSTRIAL DE LA CONSTRUCCION VICTOR BEZANILLA SALINAS,13101,4,-33.46887732999999,-70.67316809,440,1,310
8813,LICEO BICENTENARIO TÉCNICO PROFESIONAL IGNACIO DOMEYKO,13127,4,-33.42557639999999,-70.64835459,803,1,310
8814,LICEO INDUSTRIAL A-22 DE SANTIAGO,13101,4,-33.45769054,-70.63688996,370,1,310
8815,COLEGIO SAN FRANCISCO DEL ALBA,13114,1,-33.40386597,-70.53654012,972,1,10
8818,LICEO ALEXANDER FLEMING DE LAS CONDES,13114,2,-33.42563894,-70.55495696,926,1,10
8819,LICEO RAFAEL SOTOMAYOR,13114,2,-33.39516306,-70.55416897,877,1,10
8821,LICEO MUNICIPALIZADO AMANDA LABARCA,13132,1,-33.38827666,-70.54939272,1365,1,10
8822,LICEO JUAN PABLO II DE LAS CONDES,13114,1,-33.42060123,-70.53628614,912,1,10
8825,COLEGIO ANTARTICA CHILENA,13132,1,-33.38992646,-70.5591368,1165,1,10
8827,COLEGIO NTRA. SRA. DEL ROSARIO LAS CONDES,13114,2,-33.40571306999999,-70.56107434,987,1,10
